"import_time","rootname","fluxul","detectionid","label","l","b","ella","ellb","fluxerr","flux","sqrtts","spectralindex","spectralindexerr","tstart","tstop","emin","emax","run_l","run_b"
1539852352.7411957,"/data01/ANALYSIS3.local/ASTRI/DREVT3_ASTRI_O1/ctools-lc_LC-from-start/T442800000_442800010/T442800000_442800010_E0.631_350_P184.557449_-5.78436",NULL,42630,"Crab-1",184.557,-5.7843,-1,-1,19061994.9248742,0.0000001,0,4.40732,121454000000000,442800000,442800010,0.631,350,184.557449,-5.78436
1539852367.9418802,"/data01/ANALYSIS3.local/ASTRI/DREVT3_ASTRI_O1/ctools-lc_LC-from-start/T442800000_442800030/T442800000_442800030_E0.631_350_P184.557449_-5.78436",NULL,42631,"Crab-1",184.557,-5.7843,-1,-1,0.0275682318967894,0.0000001,0,0,39935.6,442800000,442800030,0.631,350,184.557449,-5.78436
1539852395.2321699,"/data01/ANALYSIS3.local/ASTRI/DREVT3_ASTRI_O1/ctools-lc_LC-from-start/T442800000_442800060/T442800000_442800060_E0.631_350_P184.557449_-5.78436",NULL,42634,"Crab-1",184.557,-5.7843,-1,-1,3137.94569515991,0.0000001,0,5,23681400000,442800000,442800060,0.631,350,184.557449,-5.78436
1539852386.1305726,"/data01/ANALYSIS3.local/ASTRI/DREVT3_ASTRI_O1/ctools-lc_LC-from-start/T442800000_442800070/T442800000_442800070_E0.631_350_P184.557449_-5.78436",NULL,42632,"Crab-1",184.557,-5.7843,-1,-1,3076.26876315121,0.0000001,0,5,23306000000,442800000,442800070,0.631,350,184.557449,-5.78436
1539852392.160622,"/data01/ANALYSIS3.local/ASTRI/DREVT3_ASTRI_O1/ctools-lc_LC-from-start/T442800000_442800080/T442800000_442800080_E0.631_350_P184.557449_-5.78436",NULL,42633,"Crab-1",184.557,-5.7843,-1,-1,2882.05498147248,0.0000001,0,5,20601200000,442800000,442800080,0.631,350,184.557449,-5.78436
1539852398.3655996,"/data01/ANALYSIS3.local/ASTRI/DREVT3_ASTRI_O1/ctools-lc_LC-from-start/T442800000_442800090/T442800000_442800090_E0.631_350_P184.557449_-5.78436",NULL,42635,"Crab-1",184.557,-5.7843,-1,-1,3229.59904392759,0.0000001,0,5,22741300000,442800000,442800090,0.631,350,184.557449,-5.78436
1539852404.6109405,"/data01/ANALYSIS3.local/ASTRI/DREVT3_ASTRI_O1/ctools-lc_LC-from-start/T442800000_442800110/T442800000_442800110_E0.631_350_P184.557449_-5.78436",NULL,42636,"Crab-1",184.557,-5.7843,-1,-1,2848.53415178821,0.0000001,0,5,20386400000,442800000,442800110,0.631,350,184.557449,-5.78436
1539852406.460557,"/data01/ANALYSIS3.local/ASTRI/DREVT3_ASTRI_O1/ctools-lc_LC-from-start/T442800000_442800120/T442800000_442800120_E0.631_350_P184.557449_-5.78436",NULL,42637,"Crab-1",184.557,-5.7843,-1,-1,2700.03578406064,0.0000001,0,5,16993800000,442800000,442800120,0.631,350,184.557449,-5.78436
1539852409.3506,"/data01/ANALYSIS3.local/ASTRI/DREVT3_ASTRI_O1/ctools-lc_LC-from-start/T442800000_442800130/T442800000_442800130_E0.631_350_P184.557449_-5.78436",NULL,42638,"Crab-1",184.557,-5.7843,-1,-1,1183.34338927111,0.0000001,0,5,12250100000,442800000,442800130,0.631,350,184.557449,-5.78436
1539852412.62876,"/data01/ANALYSIS3.local/ASTRI/DREVT3_ASTRI_O1/ctools-lc_LC-from-start/T442800000_442800140/T442800000_442800140_E0.631_350_P184.557449_-5.78436",NULL,42639,"Crab-1",184.557,-5.7843,-1,-1,1097.20506639861,0.0000001,0,5,11310400000,442800000,442800140,0.631,350,184.557449,-5.78436
