"import_time","rootname","fluxul","detectionid","label","l","b","ella","ellb","fluxerr","flux","sqrtts","spectralindex","spectralindexerr","tstart","tstop","emin","emax","run_l","run_b"
1539884499.1219792,"/data01/ANALYSIS3.local/CTA-SOUTH/DREVT3_CTA_O1/ctools-lc_LC1000-shift10/T442803550_442804550/T442803550_442804550_E0.1_100_P184.557449_-5.78436",NULL,40635,"Crab-1",184.557,-5.7843,-1,-1,0.317854029086292,13.6807,110.468,2.43617,0.0203281,442803550,442804550,0.1,100,184.557449,-5.78436
1539884499.1339893,"/data01/ANALYSIS3.local/CTA-SOUTH/DREVT3_CTA_O1/ctools-lc_LC1000-shift10/T442803540_442804540/T442803540_442804540_E0.1_100_P184.557449_-5.78436",NULL,40636,"Crab-1",184.557,-5.7843,-1,-1,0.317889041855604,13.6674,110.566,2.43214,0.0203501,442803540,442804540,0.1,100,184.557449,-5.78436
1539884496.9579716,"/data01/ANALYSIS3.local/CTA-SOUTH/DREVT3_CTA_O1/ctools-lc_LC1000-shift10/T442803530_442804530/T442803530_442804530_E0.1_100_P184.557449_-5.78436",NULL,40634,"Crab-1",184.557,-5.7843,-1,-1,0.31729520364213,13.6172,110.429,2.43059,0.0203234,442803530,442804530,0.1,100,184.557449,-5.78436
1539884494.263721,"/data01/ANALYSIS3.local/CTA-SOUTH/DREVT3_CTA_O1/ctools-lc_LC1000-shift10/T442803520_442804520/T442803520_442804520_E0.1_100_P184.557449_-5.78436",NULL,40632,"Crab-1",184.557,-5.7843,-1,-1,0.316996234722117,13.5861,110.418,2.42783,0.0202794,442803520,442804520,0.1,100,184.557449,-5.78436
1539884494.2813168,"/data01/ANALYSIS3.local/CTA-SOUTH/DREVT3_CTA_O1/ctools-lc_LC1000-shift10/T442803510_442804510/T442803510_442804510_E0.1_100_P184.557449_-5.78436",NULL,40633,"Crab-1",184.557,-5.7843,-1,-1,0.317752073967415,13.6624,110.62,2.43209,0.0202714,442803510,442804510,0.1,100,184.557449,-5.78436
1539884491.2437453,"/data01/ANALYSIS3.local/CTA-SOUTH/DREVT3_CTA_O1/ctools-lc_LC1000-shift10/T442803500_442804500/T442803500_442804500_E0.1_100_P184.557449_-5.78436",NULL,40631,"Crab-1",184.557,-5.7843,-1,-1,0.318445456836699,13.7266,110.979,2.43097,0.0202332,442803500,442804500,0.1,100,184.557449,-5.78436
1539884491.2176669,"/data01/ANALYSIS3.local/CTA-SOUTH/DREVT3_CTA_O1/ctools-lc_LC1000-shift10/T442803490_442804490/T442803490_442804490_E0.1_100_P184.557449_-5.78436",NULL,40630,"Crab-1",184.557,-5.7843,-1,-1,0.318771464995848,13.7769,110.975,2.4376,0.0202087,442803490,442804490,0.1,100,184.557449,-5.78436
1539884488.2983918,"/data01/ANALYSIS3.local/CTA-SOUTH/DREVT3_CTA_O1/ctools-lc_LC1000-shift10/T442803480_442804480/T442803480_442804480_E0.1_100_P184.557449_-5.78436",NULL,40628,"Crab-1",184.557,-5.7843,-1,-1,0.319188582209646,13.8178,111.303,2.43647,0.0201666,442803480,442804480,0.1,100,184.557449,-5.78436
1539884489.4722512,"/data01/ANALYSIS3.local/CTA-SOUTH/DREVT3_CTA_O1/ctools-lc_LC1000-shift10/T442803470_442804470/T442803470_442804470_E0.1_100_P184.557449_-5.78436",NULL,40629,"Crab-1",184.557,-5.7843,-1,-1,0.31950671349436,13.847,111.434,2.43616,0.0201211,442803470,442804470,0.1,100,184.557449,-5.78436
1539884484.4634435,"/data01/ANALYSIS3.local/CTA-SOUTH/DREVT3_CTA_O1/ctools-lc_LC1000-shift10/T442803460_442804460/T442803460_442804460_E0.1_100_P184.557449_-5.78436",NULL,40627,"Crab-1",184.557,-5.7843,-1,-1,0.319484157572917,13.8472,111.508,2.43429,0.0200815,442803460,442804460,0.1,100,184.557449,-5.78436
1539884480.2738812,"/data01/ANALYSIS3.local/CTA-SOUTH/DREVT3_CTA_O1/ctools-lc_LC1000-shift10/T442803450_442804450/T442803450_442804450_E0.1_100_P184.557449_-5.78436",NULL,40626,"Crab-1",184.557,-5.7843,-1,-1,0.318998156927258,13.8177,111.081,2.44085,0.0201957,442803450,442804450,0.1,100,184.557449,-5.78436
1539884475.608144,"/data01/ANALYSIS3.local/CTA-SOUTH/DREVT3_CTA_O1/ctools-lc_LC1000-shift10/T442803440_442804440/T442803440_442804440_E0.1_100_P184.557449_-5.78436",NULL,40625,"Crab-1",184.557,-5.7843,-1,-1,0.319476816736753,13.8426,111.477,2.4364,0.0201864,442803440,442804440,0.1,100,184.557449,-5.78436
